2017-01-30 21:01:04,747 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-01-31 13:00:24,615 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-02-01 13:48:12,316 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-02-13 13:30:34,254 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-02-13 13:30:47,967 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Updating Gradle version information cache failed. Using outdated cache.
2017-04-12 10:44:20,150 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-04-12 23:31:00,943 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-04-13 14:43:08,902 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-04-14 10:14:19,992 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-04-14 11:32:06,685 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @4703700ms
2017-04-14 11:32:06,978 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2017-04-14 11:32:07,037 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@5acdcca9{/help,null,AVAILABLE}
2017-04-14 11:32:07,097 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@1cfff7d0{HTTP/1.1,[http/1.1]}{127.0.0.1:43860}
2017-04-14 11:32:07,097 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @4704113ms
2017-04-14 16:37:08,385 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-04-14 18:23:37,507 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
